Date,(ALL) Requiring inpatient care,(ALL) Discharged from hospital or released from treatment,(ALL) To be confirmed,(Hokkaido) Requiring inpatient care,(Hokkaido) Discharged from hospital or released from treatment,(Hokkaido) To be confirmed,(Aomori) Requiring inpatient care,(Aomori) Discharged from hospital or released from treatment,(Aomori) To be confirmed,(Iwate) Requiring inpatient care,(Iwate) Discharged from hospital or released from treatment,(Iwate) To be confirmed,(Miyagi) Requiring inpatient care,(Miyagi) Discharged from hospital or released from treatment,(Miyagi) To be confirmed,(Akita) Requiring inpatient care,(Akita) Discharged from hospital or released from treatment,(Akita) To be confirmed,(Yamagata) Requiring inpatient care,(Yamagata) Discharged from hospital or released from treatment,(Yamagata) To be confirmed,(Fukushima) Requiring inpatient care,(Fukushima) Discharged from hospital or released from treatment,(Fukushima) To be confirmed,(Ibaraki) Requiring inpatient care,(Ibaraki) Discharged from hospital or released from treatment,(Ibaraki) To be confirmed,(Tochigi) Requiring inpatient care,(Tochigi) Discharged from hospital or released from treatment,(Tochigi) To be confirmed,(Gunma) Requiring inpatient care,(Gunma) Discharged from hospital or released from treatment,(Gunma) To be confirmed,(Saitama) Requiring inpatient care,(Saitama) Discharged from hospital or released from treatment,(Saitama) To be confirmed,(Chiba) Requiring inpatient care,(Chiba) Discharged from hospital or released from treatment,(Chiba) To be confirmed,(Tokyo) Requiring inpatient care,(Tokyo) Discharged from hospital or released from treatment,(Tokyo) To be confirmed,(Kanagawa) Requiring inpatient care,(Kanagawa) Discharged from hospital or released from treatment,(Kanagawa) To be confirmed,(Niigata) Requiring inpatient care,(Niigata) Discharged from hospital or released from treatment,(Niigata) To be confirmed,(Toyama) Requiring inpatient care,(Toyama) Discharged from hospital or released from treatment,(Toyama) To be confirmed,(Ishikawa) Requiring inpatient care,(Ishikawa) Discharged from hospital or released from treatment,(Ishikawa) To be confirmed,(Fukui) Requiring inpatient care,(Fukui) Discharged from hospital or released from treatment,(Fukui) To be confirmed,(Yamanashi) Requiring inpatient care,(Yamanashi) Discharged from hospital or released from treatment,(Yamanashi) To be confirmed,(Nagano) Requiring inpatient care,(Nagano) Discharged from hospital or released from treatment,(Nagano) To be confirmed,(Gifu) Requiring inpatient care,(Gifu) Discharged from hospital or released from treatment,(Gifu) To be confirmed,(Shizuoka) Requiring inpatient care,(Shizuoka) Discharged from hospital or released from treatment,(Shizuoka) To be confirmed,(Aichi) Requiring inpatient care,(Aichi) Discharged from hospital or released from treatment,(Aichi) To be confirmed,(Mie) Requiring inpatient care,(Mie) Discharged from hospital or released from treatment,(Mie) To be confirmed,(Shiga) Requiring inpatient care,(Shiga) Discharged from hospital or released from treatment,(Shiga) To be confirmed,(Kyoto) Requiring inpatient care,(Kyoto) Discharged from hospital or released from treatment,(Kyoto) To be confirmed,(Osaka) Requiring inpatient care,(Osaka) Discharged from hospital or released from treatment,(Osaka) To be confirmed,(Hyogo) Requiring inpatient care,(Hyogo) Discharged from hospital or released from treatment,(Hyogo) To be confirmed,(Nara) Requiring inpatient care,(Nara) Discharged from hospital or released from treatment,(Nara) To be confirmed,(Wakayama) Requiring inpatient care,(Wakayama) Discharged from hospital or released from treatment,(Wakayama) To be confirmed,(Tottori) Requiring inpatient care,(Tottori) Discharged from hospital or released from treatment,(Tottori) To be confirmed,(Shimane) Requiring inpatient care,(Shimane) Discharged from hospital or released from treatment,(Shimane) To be confirmed,(Okayama) Requiring inpatient care,(Okayama) Discharged from hospital or released from treatment,(Okayama) To be confirmed,(Hiroshima) Requiring inpatient care,(Hiroshima) Discharged from hospital or released from treatment,(Hiroshima) To be confirmed,(Yamaguchi) Requiring inpatient care,(Yamaguchi) Discharged from hospital or released from treatment,(Yamaguchi) To be confirmed,(Tokushima) Requiring inpatient care,(Tokushima) Discharged from hospital or released from treatment,(Tokushima) To be confirmed,(Kagawa) Requiring inpatient care,(Kagawa) Discharged from hospital or released from treatment,(Kagawa) To be confirmed,(Ehime) Requiring inpatient care,(Ehime) Discharged from hospital or released from treatment,(Ehime) To be confirmed,(Kochi) Requiring inpatient care,(Kochi) Discharged from hospital or released from treatment,(Kochi) To be confirmed,(Fukuoka) Requiring inpatient care,(Fukuoka) Discharged from hospital or released from treatment,(Fukuoka) To be confirmed,(Saga) Requiring inpatient care,(Saga) Discharged from hospital or released from treatment,(Saga) To be confirmed,(Nagasaki) Requiring inpatient care,(Nagasaki) Discharged from hospital or released from treatment,(Nagasaki) To be confirmed,(Kumamoto) Requiring inpatient care,(Kumamoto) Discharged from hospital or released from treatment,(Kumamoto) To be confirmed,(Oita) Requiring inpatient care,(Oita) Discharged from hospital or released from treatment,(Oita) To be confirmed,(Miyazaki) Requiring inpatient care,(Miyazaki) Discharged from hospital or released from treatment,(Miyazaki) To be confirmed,(Kagoshima) Requiring inpatient care,(Kagoshima) Discharged from hospital or released from treatment,(Kagoshima) To be confirmed,(Okinawa) Requiring inpatient care,(Okinawa) Discharged from hospital or released from treatment,(Okinawa) To be confirmed
2020/5/19,2979,12214,21,299,642,0,5,21,0,0,0,0,1,1,0,1,15,0,11,58,0,15,66,0,26,133,0,15,44,2,29,101,0,143,802,0,142,712,0,978,3848,0,308,908,0,18,64,1,41,166,0,77,191,0,9,104,1,9,51,0,21,55,0,8,142,,2,70,0,44,423,5,5,39,0,17,81,0,47,297,0,396,1294,11,80,581,0,7,81,0,8,52,0,2,1,0,8,16,0,2,23,0,47,117,0,3,34,0,0,4,0,1,27,0,27,44,0,4,67,0,80,553,0,14,31,0,0,16,0,10,35,0,3,56,0,3,14,0,3,7,0,10,127,1
2020/5/20,2734,12489,22,273,670,0,5,21,0,0,0,0,1,0,0,0,16,0,11,58,0,13,68,0,22,137,0,15,46,1,25,104,0,138,812,0,120,735,0,887,3941,0,306,927,0,15,67,1,41,166,0,73,195,0,8,105,1,8,52,0,21,55,0,7,143,,2,70,0,39,428,5,5,39,0,18,80,0,41,303,0,368,1323,12,67,594,0,8,81,0,8,52,0,1,2,0,8,16,0,1,24,0,43,121,0,3,34,0,0,4,0,1,27,0,27,44,0,3,68,0,63,570,0,14,31,0,0,16,0,10,35,0,2,57,0,3,14,0,2,8,0,8,130,2
2020/5/21,2454,12838,24,260,687,0,4,21,1,0,0,0,1,0,0,0,16,0,6,63,0,12,69,0,20,139,0,15,46,3,25,104,0,120,831,0,112,744,0,804,4073,0,285,959,0,14,68,1,38,168,0,72,198,0,8,105,1,5,55,0,17,59,0,7,143,,3,70,0,36,431,5,5,39,0,15,83,0,40,304,0,294,1399,11,60,601,0,7,82,0,8,52,0,1,2,0,5,19,0,0,25,0,26,138,0,3,34,0,0,4,0,1,27,0,26,45,0,3,68,0,60,573,0,13,32,0,0,16,0,10,35,0,2,57,0,3,14,0,1,9,0,7,131,2
2020/5/22,2250,13057,20,242,711,0,2,24,0,0,0,0,1,0,0,0,16,0,5,64,0,12,69,0,17,142,0,15,46,3,25,105,0,110,842,0,105,751,0,684,4189,0,284,965,0,13,69,1,35,171,0,69,201,0,7,107,0,4,56,0,16,60,0,6,144,,3,70,0,30,437,5,5,39,0,15,83,0,35,309,0,294,1399,11,56,605,0,7,82,0,7,53,0,1,2,0,4,20,0,0,25,0,24,141,0,3,34,0,0,4,0,1,27,0,29,45,0,2,69,0,47,586,0,13,32,0,0,16,0,10,35,0,2,57,0,3,14,0,1,9,0,6,132,0
2020/5/23,1808,12255,19,235,726,0,2,24,0,0,0,0,1,0,0,0,16,0,5,64,0,11,70,0,14,145,0,15,47,2,24,106,0,105,848,0,95,761,0,638,4229,0,,,0,13,69,1,28,178,0,61,210,0,6,108,0,3,57,0,16,60,0,6,144,,3,70,0,25,442,5,5,39,0,16,83,0,35,309,0,243,1449,11,54,605,0,7,82,0,6,54,0,1,2,0,4,20,0,0,25,0,23,142,0,3,34,0,0,4,0,1,27,0,30,45,0,2,69,0,41,592,0,12,33,0,0,16,0,8,37,0,2,57,0,2,15,0,1,9,0,6,133,0
2020/5/24,1791,12297,18,239,735,0,2,24,0,0,0,0,1,0,0,0,16,0,5,64,0,10,71,0,14,145,0,15,47,2,22,108,0,101,852,0,92,764,0,633,4239,0,,,0,13,69,1,28,178,0,61,210,0,5,109,0,3,57,0,16,60,0,6,144,,4,70,0,26,442,4,4,40,0,12,87,0,35,309,0,243,1449,11,50,609,0,7,82,0,6,54,0,1,2,0,4,20,0,0,25,0,22,143,0,3,34,0,0,4,0,0,28,0,31,45,0,2,69,0,44,593,0,12,33,0,0,16,0,8,37,0,2,57,0,2,15,0,1,9,0,6,133,0
2020/5/25,1887,13462,18,238,737,0,2,24,0,0,0,0,1,0,0,0,16,0,4,65,0,10,71,0,14,145,0,17,47,1,18,112,0,87,865,0,84,772,0,561,4311,0,255,1002,0,8,74,1,26,180,0,60,211,0,5,109,0,2,57,0,12,64,0,6,144,,4,70,0,26,442,5,4,40,0,10,89,0,31,312,0,212,1480,11,46,613,0,7,82,0,6,54,0,0,3,0,4,20,0,0,25,0,19,145,0,2,35,0,0,4,0,0,28,0,32,45,0,2,69,0,45,596,0,11,34,0,0,16,0,8,37,0,2,57,0,0,17,0,1,9,0,5,134,0
2020/5/26,1738,13631,19,227,755,0,2,24,0,0,0,0,1,0,0,0,16,0,3,66,0,9,72,0,11,145,2,18,47,0,16,115,0,83,870,0,79,777,0,499,4379,0,234,1024,0,8,74,1,24,182,0,61,211,0,5,109,0,2,57,0,11,65,0,5,145,,3,71,0,24,444,5,3,41,0,10,89,0,25,318,0,188,1502,11,44,615,0,5,84,0,6,54,0,0,3,0,4,20,0,0,25,0,18,146,0,2,35,0,0,4,0,0,28,0,32,45,0,1,70,0,51,596,0,10,35,0,0,16,0,7,38,0,2,57,0,0,17,0,0,10,0,5,135,0
2020/5/27,1623,13764,17,223,763,0,2,24,0,0,0,0,0,1,0,0,16,0,3,66,0,7,74,0,11,147,0,17,48,0,15,116,0,78,875,0,73,784,0,471,4413,0,222,1040,0,7,75,1,20,185,0,61,211,0,5,109,0,2,57,0,11,65,0,5,145,,3,71,0,18,450,5,3,41,0,10,89,0,20,322,0,166,1525,11,41,618,0,6,84,0,5,55,0,0,3,0,4,20,0,0,25,0,17,147,0,2,35,0,0,4,0,0,28,0,30,47,0,1,70,0,42,607,0,9,35,0,0,16,0,7,38,0,1,58,0,0,17,0,0,10,0,5,135,0
2020/5/28,1536,13885,19,222,770,0,1,25,0,0,0,0,0,0,0,0,16,0,3,66,0,7,74,0,9,149,0,17,48,0,14,116,0,72,882,0,63,794,0,453,4443,0,210,1057,0,7,75,1,19,186,0,58,215,0,5,109,0,5,59,0,10,66,0,4,146,,4,71,0,15,453,5,3,41,0,10,89,0,21,321,0,148,1539,13,37,622,0,5,85,0,4,56,0,0,3,0,2,22,0,0,25,0,13,151,0,2,35,0,0,4,0,0,28,0,29,49,0,1,70,0,43,614,0,9,35,0,0,16,0,6,39,0,1,58,0,0,17,0,0,10,0,4,136,0
2020/5/29,1454,14017,20,212,783,0,1,25,0,0,0,0,0,0,0,0,16,0,3,66,0,7,74,0,7,151,0,16,49,0,13,117,0,68,888,0,56,801,0,414,4501,0,195,1080,0,5,77,1,18,187,0,56,218,0,5,109,0,4,59,0,9,67,0,4,146,,3,72,0,15,453,5,3,41,0,8,91,0,18,323,0,148,1539,13,33,625,0,4,86,0,4,56,0,0,3,0,1,22,1,0,25,0,13,151,0,2,35,0,0,4,0,0,28,0,28,50,0,1,70,0,61,616,0,8,37,0,0,16,0,6,39,0,1,58,0,0,17,0,0,10,0,4,136,0
2020/5/30,1243,12994,19,200,799,0,1,25,0,0,0,0,0,0,0,0,16,0,3,66,0,6,75,0,7,151,0,16,49,0,13,118,0,65,890,0,56,802,0,419,4508,0,,,0,5,77,1,18,187,0,54,219,0,5,109,0,4,59,0,7,69,0,4,146,,3,72,0,15,455,3,3,41,0,8,91,0,18,323,0,133,1552,14,31,626,0,2,88,0,3,57,0,0,3,0,1,22,1,0,25,0,13,151,0,2,35,0,0,4,0,0,28,0,28,50,0,1,70,0,84,619,0,8,37,0,0,16,0,3,42,0,1,58,0,0,17,0,0,10,0,3,137,0
2020/5/31,1232,13032,20,195,810,0,1,25,0,0,0,0,0,0,0,0,16,0,3,66,0,6,75,0,7,151,0,16,49,0,13,118,0,67,888,0,56,804,0,421,4510,0,,,0,5,77,1,16,189,0,54,219,0,4,110,0,4,59,0,7,69,0,5,146,,3,72,0,13,456,4,0,44,0,8,91,0,18,323,0,121,1565,14,31,626,0,2,88,0,3,57,0,0,3,0,1,22,1,0,25,0,11,153,0,2,35,0,0,4,0,0,28,0,28,50,0,0,71,0,100,620,0,5,37,0,0,16,0,2,43,0,1,58,0,0,17,0,0,10,0,3,137,0
2020/6/1,1343,14253,10,197,812,0,0,26,0,0,0,0,0,0,0,0,16,0,3,66,0,6,75,0,6,152,0,12,53,0,10,121,0,59,896,0,48,812,0,405,4539,0,180,1104,0,3,79,1,15,190,0,52,221,0,2,112,0,4,59,0,7,69,0,6,146,,2,73,0,12,457,5,0,44,0,8,91,0,16,325,0,102,1594,4,27,630,0,2,88,0,3,57,0,0,3,0,2,22,0,0,25,0,7,158,0,2,35,0,0,4,0,0,28,0,26,52,0,0,71,0,107,625,0,6,42,0,0,16,0,2,43,0,1,58,0,0,17,0,0,10,0,3,137,0
2020/6/2,1272,14383,10,191,821,0,0,26,0,0,0,0,0,0,0,0,16,0,3,66,0,6,75,0,5,153,0,14,53,0,9,122,0,49,905,0,38,823,0,391,4586,0,163,1124,0,1,81,1,12,193,0,46,227,0,2,112,0,4,60,0,5,71,0,6,146,,2,73,0,12,457,5,0,44,0,8,91,0,16,325,0,93,1602,4,25,632,0,2,88,0,3,57,0,0,3,0,2,22,0,0,25,0,7,158,0,1,36,0,0,4,0,0,28,0,24,54,0,0,71,0,121,626,0,6,45,0,0,16,0,1,44,0,1,58,0,0,17,0,0,10,0,3,137,0
2020/6/3,1208,14468,10,183,831,0,0,26,0,0,0,0,0,0,0,0,16,0,3,66,0,6,75,0,5,153,0,14,53,0,9,122,0,47,909,0,38,824,0,366,4623,0,157,1131,0,1,81,1,9,196,0,39,233,0,2,112,0,4,60,0,5,71,0,6,146,,2,73,0,12,458,5,0,44,0,7,92,0,10,331,0,93,1602,4,21,636,0,1,89,0,3,57,0,0,3,0,1,23,0,0,25,0,6,158,0,1,36,0,0,4,0,0,28,0,23,55,0,0,71,0,125,628,0,5,45,0,0,16,0,1,44,0,1,58,0,0,17,0,0,10,0,2,137,0
2020/6/4,1127,14588,10,166,849,0,0,26,0,0,0,0,0,0,0,0,16,0,3,66,0,5,76,0,3,155,0,10,57,0,9,122,0,43,912,0,25,837,0,368,4648,0,137,1157,0,1,81,1,9,196,0,39,233,0,2,112,0,4,60,0,5,71,0,6,146,,2,73,0,10,460,5,0,44,0,5,94,0,10,331,0,85,1610,4,16,641,0,1,89,0,0,60,0,0,3,0,1,23,0,0,25,0,2,162,0,1,36,0,0,4,0,0,28,0,23,55,0,0,71,0,127,632,0,5,45,0,0,16,0,1,44,0,1,58,0,0,17,0,0,10,0,2,137,0
2020/6/5,1063,14688,10,156,863,0,0,26,0,0,0,0,0,0,0,0,16,0,3,66,0,5,76,0,3,155,0,9,58,0,11,122,0,37,918,0,21,842,0,347,4687,0,137,1163,0,1,81,1,7,198,0,36,236,0,2,112,0,2,62,0,5,71,0,5,147,,2,72,0,8,462,5,0,44,0,5,94,0,8,332,0,78,1617,4,10,647,0,1,89,0,0,60,0,0,3,0,1,23,0,0,25,0,3,162,0,1,36,0,0,4,0,0,28,0,18,60,0,0,71,0,132,633,0,5,45,0,0,16,0,1,44,0,1,58,0,0,17,0,0,10,0,2,137,0
2020/6/6,915,13579,9,158,869,0,0,26,0,0,0,0,0,0,0,0,16,0,2,67,0,3,78,0,3,155,0,9,60,0,10,123,0,36,920,0,21,842,0,363,4695,0,,,0,1,81,1,7,198,0,35,237,0,1,113,0,2,63,0,5,71,0,5,147,,2,72,0,8,463,4,0,44,0,2,97,0,8,332,0,68,1628,4,5,652,0,1,89,0,0,60,0,0,3,0,1,23,0,0,25,0,3,162,0,1,36,0,0,4,0,0,28,0,18,60,0,0,71,0,129,641,0,5,45,0,0,16,0,1,44,0,1,58,0,0,17,0,0,10,0,1,138,0
2020/6/7,923,13594,9,150,881,0,0,26,0,0,0,0,0,0,0,0,16,0,2,67,0,3,78,0,3,155,0,9,60,0,10,123,0,36,920,0,24,842,0,376,4696,0,,,0,1,81,1,6,199,0,35,237,0,1,113,0,3,63,0,5,71,0,5,147,,2,72,0,8,463,4,0,44,0,2,97,0,8,332,0,68,1628,4,5,652,0,1,89,0,0,60,0,0,3,0,1,23,0,0,25,0,2,163,0,1,36,0,0,4,0,0,28,0,18,60,0,0,71,0,131,641,0,4,45,0,0,16,0,1,44,0,1,58,0,0,17,0,0,10,0,1,138,0
